id,target
0,0.03116
1,0.03959
2,0.03531
3,0.02979
4,0.02955
5,0.03010
6,0.03440
8,0.03395
10,0.04302
11,0.03114
12,0.03256
14,0.02997
15,0.03960
18,0.03660
21,0.03911
23,0.04216
24,0.03559
25,0.03791
27,0.05040
29,0.03394
30,0.03574
31,0.03715
32,0.04274
33,0.03873
37,0.02981
38,0.03327
39,0.04843
40,0.03468
41,0.03542
42,0.03461
44,0.03223
45,0.03560
47,0.03125
49,0.03021
51,0.03581
52,0.03274
53,0.03687
54,0.04822
55,0.03545
56,0.03758
57,0.04571
59,0.04568
60,0.03828
62,0.02966
63,0.05397
67,0.03948
68,0.02886
69,0.04871
70,0.03579
71,0.03987
73,0.03645
75,0.03850
76,0.03101
81,0.02837
82,0.03758
83,0.03174
86,0.03084
87,0.03740
88,0.03261
91,0.04049
92,0.03597
94,0.03114
97,0.03705
100,0.03722
102,0.03529
103,0.03339
105,0.03631
106,0.04579
108,0.03770
113,0.04805
114,0.03669
115,0.03625
118,0.04019
122,0.02952
124,0.03081
126,0.03175
128,0.03524
129,0.03545
130,0.04155
131,0.04732
132,0.04652
133,0.02940
134,0.04749
135,0.04202
136,0.03254
139,0.03297
140,0.03682
141,0.03888
146,0.03251
148,0.03562
151,0.03015
152,0.04156
154,0.03237
157,0.03506
158,0.02960
159,0.04309
161,0.03607
164,0.03624
165,0.04471
167,0.03573
168,0.03834
169,0.03863
171,0.03581
172,0.04113
173,0.02967
174,0.03767
175,0.03668
176,0.04268
178,0.03557
179,0.03236
180,0.03017
181,0.02641
182,0.04008
183,0.03734
184,0.04617
185,0.03242
187,0.02827
188,0.03365
190,0.03484
191,0.03513
192,0.05611
195,0.03513
196,0.03912
198,0.04028
201,0.03243
202,0.03382
203,0.03326
204,0.03098
207,0.03524
213,0.04644
219,0.03125
220,0.03846
222,0.04141
226,0.03349
228,0.04777
230,0.03899
231,0.03368
232,0.03956
233,0.03805
234,0.02769
236,0.03965
237,0.03501
238,0.04326
240,0.03675
241,0.03028
242,0.03769
243,0.03569
245,0.03815
246,0.05099
247,0.03364
249,0.05322
250,0.03926
251,0.02985
252,0.04184
253,0.03116
254,0.03711
255,0.04875
256,0.03857
257,0.03451
258,0.04053
259,0.04855
260,0.02631
262,0.02958
267,0.03267
268,0.03106
270,0.02920
272,0.03684
273,0.03192
274,0.04436
275,0.04084
276,0.03291
277,0.03412
278,0.04027
279,0.04460
281,0.04168
282,0.03374
283,0.04001
287,0.03534
288,0.03980
289,0.03888
290,0.03769
291,0.03949
292,0.05221
293,0.03911
294,0.03508
295,0.03158
296,0.05225
297,0.03351
298,0.03668
299,0.04273
300,0.03986
303,0.04212
304,0.04052
308,0.03000
314,0.04522
315,0.04123
317,0.03365
318,0.05029
320,0.04418
322,0.03887
323,0.03751
327,0.04371
329,0.04428
331,0.03628
332,0.05007
333,0.04098
334,0.03342
335,0.03200
336,0.03794
337,0.04366
341,0.04276
343,0.03162
345,0.04091
347,0.03237
348,0.03069
349,0.03332
352,0.03629
353,0.02969
354,0.03902
355,0.03357
356,0.04251
357,0.03736
358,0.03350
359,0.03492
361,0.03416
362,0.03788
365,0.03774
366,0.04105
368,0.03766
369,0.03381
371,0.03064
373,0.03325
376,0.03311
377,0.04210
379,0.03505
381,0.03298
382,0.03838
383,0.03411
384,0.03485
385,0.03849
386,0.03901
387,0.03910
388,0.04304
390,0.03886
391,0.03384
392,0.03979
393,0.04647
394,0.03299
396,0.03849
400,0.03176
402,0.06097
403,0.03254
405,0.03354
407,0.03841
409,0.04637
411,0.03410
412,0.03058
414,0.06017
415,0.03640
416,0.02830
418,0.03503
419,0.03898
421,0.02884
422,0.05993
423,0.04026
424,0.04212
426,0.02940
427,0.04720
428,0.04010
436,0.03874
438,0.03655
442,0.03499
443,0.03479
445,0.03578
446,0.03558
447,0.03020
450,0.04188
452,0.03141
453,0.03842
455,0.03519
458,0.05275
459,0.02858
461,0.03833
463,0.02740
467,0.05623
470,0.04165
471,0.04395
472,0.03063
476,0.04503
477,0.03575
481,0.03746
482,0.04113
483,0.04833
485,0.03553
487,0.03799
488,0.03527
490,0.04434
492,0.03733
494,0.04693
497,0.04330
499,0.03819
500,0.03922
501,0.03336
503,0.03577
505,0.03433
506,0.03730
507,0.04015
509,0.04356
510,0.03561
511,0.04009
512,0.02997
514,0.04180
515,0.02970
516,0.03526
517,0.04922
519,0.04075
520,0.04383
521,0.03136
522,0.03514
523,0.03647
527,0.03991
530,0.04020
532,0.03480
534,0.03212
536,0.04344
539,0.03081
543,0.03148
547,0.03940
550,0.04306
551,0.04256
552,0.03304
553,0.04583
555,0.03449
556,0.03710
557,0.03139
558,0.04166
559,0.03297
560,0.03386
561,0.03799
565,0.03858
566,0.03452
567,0.03597
571,0.03447
572,0.03335
574,0.03219
575,0.02960
576,0.04142
577,0.04466
578,0.03394
579,0.03893
581,0.02398
587,0.03259
589,0.03269
590,0.04643
591,0.03530
592,0.03988
593,0.03424
594,0.04738
595,0.05220
596,0.02802
597,0.03561
598,0.04703
600,0.03163
602,0.02818
605,0.03365
606,0.04166
607,0.03734
612,0.02624
613,0.03839
614,0.03050
615,0.04037
616,0.04183
617,0.03276
618,0.04643
620,0.03090
621,0.02989
622,0.03118
623,0.03470
628,0.03388
631,0.03552
632,0.02927
633,0.03598
634,0.03897
635,0.05008
637,0.04289
638,0.04907
640,0.04630
643,0.03750
644,0.06129
645,0.04083
646,0.03381
649,0.03744
651,0.04044
653,0.02812
654,0.04254
655,0.05142
656,0.03268
658,0.04179
659,0.02733
661,0.04031
662,0.03815
663,0.05300
664,0.06118
665,0.03520
667,0.03428
668,0.03628
671,0.03736
673,0.03869
674,0.05175
675,0.02957
676,0.03797
677,0.03004
678,0.03305
679,0.04184
680,0.03125
681,0.04608
682,0.03923
683,0.03768
684,0.03583
686,0.03841
687,0.04490
688,0.04373
690,0.02994
691,0.03780
692,0.04906
693,0.03635
694,0.03731
695,0.03216
696,0.03559
698,0.04045
699,0.03279
702,0.03725
703,0.02502
705,0.04211
706,0.04137
707,0.03568
708,0.03552
709,0.05240
710,0.05902
713,0.04806
714,0.03852
715,0.04389
716,0.04174
717,0.04244
718,0.03674
719,0.03084
720,0.03711
721,0.03487
723,0.04152
724,0.04023
726,0.03127
728,0.05472
730,0.02917
732,0.03211
734,0.02873
